;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""position intra""
oen_term:oen_0000000
""Helmholtz""";position intra;oen_term:oen_0000000;';';oen_0000286;';';';'
"owl:Class
""software device""
oen_term:oen_0000000
""Helmholtz""";software device;oen_term:oen_0000000;';';oen_0000287;';';';'
"owl:Class
""cell attached configuration""
oen_term:oen_0000000
""Helmholtz""";cell attached configuration;oen_term:oen_0000000;';';oen_0000284;';';';'
"owl:Class
""phone number""
oen_term:oen_0000000
""Helmholtz""";phone number;oen_term:oen_0000000;';';oen_0000285;';';';'
"owl:Class
""rectangular window""
oen_term:oen_0000000
""odML terminology""";rectangular window;oen_term:oen_0000000;';';oen_0000282;';';';'
"owl:Class
""neural structure cell type""
oen_term:oen_0000000
""Helmholtz""";neural structure cell type;oen_term:oen_0000000;';';oen_0000283;';';';'
"owl:Class
""cell baseline membrane potential noise""
oen_term:oen_0000000
""odML terminology""";cell baseline membrane potential noise;oen_term:oen_0000000;';';oen_0000280;';';';'
"owl:Class
""receptive field""
oen_term:oen_0000000
""Helmholtz""";receptive field;oen_term:oen_0000000;';';oen_0000281;';';';'
"owl:Class
""image acquisition color temperature""
oen_term:oen_0000000
""odML terminology""";image acquisition color temperature;oen_term:oen_0000000;';';oen_0000551;';';';'
"owl:Class
""storage file server""
oen_term:oen_0000000
""Helmholtz""";storage file server;oen_term:oen_0000000;';';oen_0000288;';';';'
"owl:Class
""stimulation receptive field y""
oen_term:oen_0000000
""Helmholtz""";stimulation receptive field y;oen_term:oen_0000000;';';oen_0000289;';';';'
"owl:Class
""preparation model protocol""
oen_term:oen_0000000
""Helmholtz""";preparation model protocol;oen_term:oen_0000000;';';oen_0000091;';';';'
"owl:Class
""decibel""
oen_term:oen_0000000
""odML terminology""";decibel;oen_term:oen_0000000;';';oen_0000090;';';';'
"owl:Class
""shutter device component""
oen_term:oen_0000000
""odML terminology""";shutter device component;oen_term:oen_0000000;';';oen_0000233;';';';'
"owl:Class
""electrode contact configuration""
oen_term:oen_0000000
""Helmholtz""";electrode contact configuration;oen_term:oen_0000000;';';oen_0000232;';';';'
"owl:Class
""species english name""
oen_term:oen_0000000
""Helmholtz""";species english name;oen_term:oen_0000000;';';oen_0000231;';';';'
"owl:Class
""preparation equipment""
oen_term:oen_0000000
""Helmholtz""";preparation equipment;oen_term:oen_0000000;';';oen_0000230;';';';'
"owl:Class
""identifier""
oen_term:oen_0000000
""odML terminology""";identifier;oen_term:oen_0000000;';';oen_0000237;';';';'
"owl:Class
""amplifier type""
oen_term:oen_0000000
""odML terminology""";amplifier type;oen_term:oen_0000000;';';oen_0000236;';';';'
"owl:Class
""discrete signal left sweep""
oen_term:oen_0000000
""Helmholtz""";discrete signal left sweep;oen_term:oen_0000000;';';oen_0000235;';';';'
"owl:Class
""grating drifting velocity""
oen_term:oen_0000000
""odML terminology""";grating drifting velocity;oen_term:oen_0000000;';';oen_0000234;';';';'
"owl:Class
""experimental measurement""
oen_term:oen_0000000
""odML terminology""";experimental measurement;oen_term:oen_0000000;';';oen_0000239;';';';'
"owl:Class
""preparation date""
oen_term:oen_0000000
""odML terminology""";preparation date;oen_term:oen_0000000;';';oen_0000238;';';';'
"owl:Class
""phase-antiphase stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";phase-antiphase stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000549;';';';'
"owl:Class
""watt""
oen_term:oen_0000000
""odML terminology""";watt;oen_term:oen_0000000;';';oen_0000099;';';';'
"owl:Class
""colored colorspace""
oen_term:oen_0000000
""odML terminology""";colored colorspace;oen_term:oen_0000000;';';oen_0000548;';';';'
"owl:Class
""dataset recording end time""
oen_term:oen_0000000
""odML terminology""";dataset recording end time;oen_term:oen_0000000;';';oen_0000098;';';';'
"owl:Class
""image sensor microchip""
oen_term:oen_0000000
""odML terminology""";image sensor microchip;oen_term:oen_0000000;';';oen_0000672;';';';'
"owl:Class
""scanner pixel size""
oen_term:oen_0000000
""odML terminology""";scanner pixel size;oen_term:oen_0000000;';';oen_0000742;';';';'
"owl:Class
""drug application""
oen_term:oen_0000000
""Helmholtz""";drug application;oen_term:oen_0000000;';';oen_0000468;';';';'
"owl:Class
""configuration file""
oen_term:oen_0000000
""odML terminology""";configuration file;oen_term:oen_0000000;';';oen_0000469;';';';'
"owl:Class
""drug""
oen_term:oen_0000000
""Helmholtz""";drug;oen_term:oen_0000000;';';oen_0000466;';';';'
"owl:Class
""anteroposterior orientation""
oen_term:oen_0000000
""Helmholtz""";anteroposterior orientation;oen_term:oen_0000000;';';oen_0000467;';';';'
"owl:Class
""country""
oen_term:oen_0000000
""Helmholtz""";country;oen_term:oen_0000000;';';oen_0000464;';';';'
"owl:Class
""analog input resolution""
oen_term:oen_0000000
""odML terminology""";analog input resolution;oen_term:oen_0000000;';';oen_0000465;';';';'
"owl:Class
""preparation thickness""
oen_term:oen_0000000
""Helmholtz""";preparation thickness;oen_term:oen_0000000;';';oen_0000462;';';';'
"owl:Class
""electrocardiogram device""
oen_term:oen_0000000
""Helmholtz""";electrocardiogram device;oen_term:oen_0000000;';';oen_0000463;';';';'
"owl:Class
""stimulation seed constant""
oen_term:oen_0000000
""Helmholtz""";stimulation seed constant;oen_term:oen_0000000;';';oen_0000460;';';';'
"owl:Class
""preparation protocol""
oen_term:oen_0000000
""Helmholtz""";preparation protocol;oen_term:oen_0000000;';';oen_0000461;';';';'
"owl:Class
""experimental setup department""
oen_term:oen_0000000
""odML terminology""";experimental setup department;oen_term:oen_0000000;';';oen_0000589;';';';'
"owl:Class
""analog output channel gain""
oen_term:oen_0000000
""odML terminology""";analog output channel gain;oen_term:oen_0000000;';';oen_0000588;';';';'
"owl:Class
""first name""
oen_term:oen_0000000
""odML terminology""";first name;oen_term:oen_0000000;';';oen_0000673;';';';'
"owl:Class
""continuous signal analysis""
oen_term:oen_0000000
""Helmholtz""";continuous signal analysis;oen_term:oen_0000000;';';oen_0000581;';';';'
"owl:Class
""maximum attenuation""
oen_term:oen_0000000
""odML terminology""";maximum attenuation;oen_term:oen_0000000;';';oen_0000580;';';';'
"owl:Class
""alpha window""
oen_term:oen_0000000
""odML terminology""";alpha window;oen_term:oen_0000000;';';oen_0000583;';';';'
"owl:Class
""drifting stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";drifting stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000582;';';';'
"owl:Class
""microscope objective transmission lower bound""
oen_term:oen_0000000
""odML terminology""";microscope objective transmission lower bound;oen_term:oen_0000000;';';oen_0000585;';';';'
"owl:Class
""quadri-directional stimulation movement stimulus""
oen_term:oen_0000000
""Helmholtz""";quadri-directional stimulation movement stimulus;oen_term:oen_0000000;';';oen_0000547;';';';'
"owl:Class
""birth day""
oen_term:oen_0000000
""odML terminology""";birth day;oen_term:oen_0000000;';';oen_0000587;';';';'
"owl:Class
""contact gel""
oen_term:oen_0000000
""Helmholtz""";contact gel;oen_term:oen_0000000;';';oen_0000586;';';';'
"owl:Class
""organization dissolution date""
oen_term:oen_0000000
""Helmholtz""";organization dissolution date;oen_term:oen_0000000;';';oen_0000019;';';';'
"owl:Class
""position dorsoventral axis""
oen_term:oen_0000000
""Helmholtz""";position dorsoventral axis;oen_term:oen_0000000;';';oen_0000018;';';';'
"owl:Class
""USB2 adaptor syncbox""
oen_term:oen_0000000";USB2 adaptor syncbox;oen_term:oen_0000000;';';oen_0000013;';';';'
"owl:Class
""web camera""
obo:OBI_0000968";web camera;obo:OBI_0000968;';';oen_0000012;';';';'
"owl:Class
""multimedia projector""
obo:OBI_0000968";multimedia projector;obo:OBI_0000968;';';oen_0000011;';';';'
"owl:Class
""gas pedal""
oen_term:oen_0000007
""the gas pedal is an automobile pedal which controls fuel and air supply to the automobile's engine""
""accelerator""
""throttle""";gas pedal;oen_term:oen_0000007;';';oen_0000010;';';"""the gas pedal is an automobile pedal which controls fuel and air supply to the automobile's engine""";'
"owl:Class
""electrod input box""
oen_term:oen_0000000";electrod input box;oen_term:oen_0000000;';';oen_0000014;';';';'
"owl:Class
""stimulus isolator output range minimum current""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output range minimum current;oen_term:oen_0000000;';';oen_0000646;';';';'
"owl:Class
""transmission lower bound""
oen_term:oen_0000000
""odML terminology""";transmission lower bound;oen_term:oen_0000000;';';oen_0000647;';';';'
"owl:Class
""behavioral phenotype""
oen_term:oen_0000000
""odML terminology""";behavioral phenotype;oen_term:oen_0000000;';';oen_0000644;';';';'
"owl:Class
""principle investigator""
oen_term:oen_0000000
""odML terminology""";principle investigator;oen_term:oen_0000000;';';oen_0000645;';';';'
"owl:Class
""stimulus isolator minimum gain""
oen_term:oen_0000000
""odML terminology""";stimulus isolator minimum gain;oen_term:oen_0000000;';';oen_0000642;';';';'
"owl:Class
""microscope objective transmission upper bound""
oen_term:oen_0000000
""odML terminology""";microscope objective transmission upper bound;oen_term:oen_0000000;';';oen_0000378;';';';'
"owl:Class
""signal processing filter bandform""
oen_term:oen_0000000
""odML terminology""";signal processing filter bandform;oen_term:oen_0000000;';';oen_0000640;';';';'
"owl:Class
""chemical product""
oen_term:oen_0000000
""Helmholtz""";chemical product;oen_term:oen_0000000;';';oen_0000641;';';';'
"owl:Class
""image acquisition""
oen_term:oen_0000000
""odML terminology""";image acquisition;oen_term:oen_0000000;';';oen_0000379;';';';'
"owl:Class
""storage file name""
oen_term:oen_0000000
""Helmholtz""";storage file name;oen_term:oen_0000000;';';oen_0000648;';';';'
"owl:Class
""white noise mean intensity""
oen_term:oen_0000000
""odML terminology""";white noise mean intensity;oen_term:oen_0000000;';';oen_0000649;';';';'
"owl:Class
""experimental laboratory""
oen_term:oen_0000000
""Helmholtz""";experimental laboratory;oen_term:oen_0000000;';';oen_0000084;';';';'
"owl:Class
""light source pulse rate""
oen_term:oen_0000000
""odML terminology""";light source pulse rate;oen_term:oen_0000000;';';oen_0000085;';';';'
"owl:Class
""image acquisition color gain""
oen_term:oen_0000000
""odML terminology""";image acquisition color gain;oen_term:oen_0000000;';';oen_0000086;';';';'
"owl:Class
""address""
oen_term:oen_0000000
""Helmholtz""";address;oen_term:oen_0000000;';';oen_0000087;';';';'
"owl:Class
""analog input reference""
oen_term:oen_0000000
""odML terminology""";analog input reference;oen_term:oen_0000000;';';oen_0000080;';';';'
"owl:Class
""power spectrum window function""
oen_term:oen_0000000
""odML terminology""";power spectrum window function;oen_term:oen_0000000;';';oen_0000081;';';';'
"owl:Class
""result file URL""
oen_term:oen_0000000
""odML terminology""";result file URL;oen_term:oen_0000000;';';oen_0000169;';';';'
"owl:Class
""data file""
oen_term:oen_0000000
""odML terminology""";data file;oen_term:oen_0000000;';';oen_0000168;';';';'
"owl:Class
""chemical""
oen_term:oen_0000000
""Helmholtz""";chemical;oen_term:oen_0000000;';';oen_0000167;';';';'
"owl:Class
""emission filter range""
oen_term:oen_0000000
""odML terminology""";emission filter range;oen_term:oen_0000000;';';oen_0000166;';';';'
"owl:Class
""experimental setup""
oen_term:oen_0000000
""Helmholtz""";experimental setup;oen_term:oen_0000000;';';oen_0000165;';';';'
"owl:Class
""voltage clamp""
oen_term:oen_0000000
""odML terminology""";voltage clamp;oen_term:oen_0000000;';';oen_0000164;';';';'
"owl:Class
""dataset file URL""
oen_term:oen_0000000
""odML terminology""";dataset file URL;oen_term:oen_0000000;';';oen_0000088;';';';'
"owl:Class
""whole cell patch""
oen_term:oen_0000000
""odML terminology""";whole cell patch;oen_term:oen_0000000;';';oen_0000089;';';';'
"owl:Class
""subsystem""
oen_term:oen_0000000
""Helmholtz""";subsystem;oen_term:oen_0000000;';';oen_0000161;';';';'
"owl:Class
""psychophysics task""
oen_term:oen_0000000
""odML terminology""";psychophysics task;oen_term:oen_0000000;';';oen_0000160;';';';'
"owl:Class
""stimulation phase speed""
oen_term:oen_0000000
""Helmholtz""";stimulation phase speed;oen_term:oen_0000000;';';oen_0000741;';';';'
"owl:Class
""stimulus isolator output mode""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output mode;oen_term:oen_0000000;';';oen_0000389;';';';'
"owl:Class
""recording dataset""
oen_term:oen_0000000
""Helmholtz""";recording dataset;oen_term:oen_0000000;';';oen_0000738;';';';'
"owl:Class
""setup configuration identifier""
oen_term:oen_0000000
""odML terminology""";setup configuration identifier;oen_term:oen_0000000;';';oen_0000739;';';';'
"owl:Class
""gabor stimulation grating""
oen_term:oen_0000000
""Helmholtz""";gabor stimulation grating;oen_term:oen_0000000;';';oen_0000736;';';';'
"owl:Class
""grating wave type""
oen_term:oen_0000000
""odML terminology""";grating wave type;oen_term:oen_0000000;';';oen_0000737;';';';'
"owl:Class
""DC pulse stimulus""
oen_term:oen_0000000
""odML terminology""";DC pulse stimulus;oen_term:oen_0000000;';';oen_0000734;';';';'
"owl:Class
""current stimulus isolator output""
oen_term:oen_0000000
""odML terminology""";current stimulus isolator output;oen_term:oen_0000000;';';oen_0000388;';';';'
"owl:Class
""structure""
oen_term:oen_0000000
""odML terminology""";structure;oen_term:oen_0000000;';';oen_0000732;';';';'
"owl:Class
""cell rheobase""
oen_term:oen_0000000
""odML terminology""";cell rheobase;oen_term:oen_0000000;';';oen_0000733;';';';'
"owl:Class
""device amplification setting""
oen_term:oen_0000000
""Helmholtz""";device amplification setting;oen_term:oen_0000000;';';oen_0000730;';';';'
"owl:Class
""recording block start""
oen_term:oen_0000000
""Helmholtz""";recording block start;oen_term:oen_0000000;';';oen_0000731;';';';'
"owl:Class
""seal resistance""
oen_term:oen_0000000
""Helmholtz""";seal resistance;oen_term:oen_0000000;';';oen_0000383;';';';'
"owl:Class
""measurement unit""
oen_term:oen_0000000
""Helmholtz""";measurement unit;oen_term:oen_0000000;';';oen_0000382;';';';'
"owl:Class
""subject size""
oen_term:oen_0000000
""odML terminology""";subject size;oen_term:oen_0000000;';';oen_0000422;';';';'
"owl:Class
""two photon fluorescence microscopy""
oen_term:oen_0000000
""odML terminology""";two photon fluorescence microscopy;oen_term:oen_0000000;';';oen_0000423;';';';'
"owl:Class
""eye tracker filter""
oen_term:oen_0000000
""odML terminology""";eye tracker filter;oen_term:oen_0000000;';';oen_0000420;';';';'
"owl:Class
""attenuator device""
oen_term:oen_0000000
""odML terminology""";attenuator device;oen_term:oen_0000000;';';oen_0000421;';';';'
"owl:Class
""stimulation experiment""
oen_term:oen_0000000
""odML terminology""";stimulation experiment;oen_term:oen_0000000;';';oen_0000426;';';';'
"owl:Class
""experimental protocol""
oen_term:oen_0000000
""odML terminology""";experimental protocol;oen_term:oen_0000000;';';oen_0000427;';';';'
"owl:Class
""device recording point index""
oen_term:oen_0000000
""Helmholtz""";device recording point index;oen_term:oen_0000000;';';oen_0000424;';';';'
"owl:Class
""microchip""
oen_term:oen_0000000
""odML terminology""";microchip;oen_term:oen_0000000;';';oen_0000425;';';';'
"owl:Class
""image acquisition picture rotation""
oen_term:oen_0000000
""odML terminology""";image acquisition picture rotation;oen_term:oen_0000000;';';oen_0000545;';';';'
"owl:Class
""stimulus start""
oen_term:oen_0000000
""Helmholtz""";stimulus start;oen_term:oen_0000000;';';oen_0000544;';';';'
"owl:Class
""maximum aperture""
oen_term:oen_0000000
""odML terminology""";maximum aperture;oen_term:oen_0000000;';';oen_0000428;';';';'
"owl:Class
""intracellular recording""
oen_term:oen_0000000
""odML terminology""";intracellular recording;oen_term:oen_0000000;';';oen_0000429;';';';'
"owl:Class
""excitation filter lower bound""
oen_term:oen_0000000
""odML terminology""";excitation filter lower bound;oen_term:oen_0000000;';';oen_0000541;';';';'
"owl:Class
""paper universal resource locator""
oen_term:oen_0000000
""odML terminology""";paper universal resource locator;oen_term:oen_0000000;';';oen_0000540;';';';'
"owl:Class
""image acquisition bit depth""
oen_term:oen_0000000
""odML terminology""";image acquisition bit depth;oen_term:oen_0000000;';';oen_0000543;';';';'
"owl:Class
""top-left position reference""
oen_term:oen_0000000
""odML terminology""";top-left position reference;oen_term:oen_0000000;';';oen_0000542;';';';'
"owl:Class
""phase shift""
oen_term:oen_0000000
""odML terminology""";phase shift;oen_term:oen_0000000;';';oen_0000277;';';';'
"owl:Class
""chemical product supplier""
oen_term:oen_0000000
""Helmholtz""";chemical product supplier;oen_term:oen_0000000;';';oen_0000276;';';';'
"owl:Class
""individual count""
oen_term:oen_0000000
""odML terminology""";individual count;oen_term:oen_0000000;';';oen_0000275;';';';'
"owl:Class
""scanner scan mode""
oen_term:oen_0000000
""odML terminology""";scanner scan mode;oen_term:oen_0000000;';';oen_0000274;';';';'
"owl:Class
""overlap with""
oen_term:oen_0000000
""odML terminology""";overlap with;oen_term:oen_0000000;';';oen_0000273;';';';'
"owl:Class
""image acquisition contrast adjustment""
oen_term:oen_0000000
""odML terminology""";image acquisition contrast adjustment;oen_term:oen_0000000;';';oen_0000272;';';';'
"owl:Class
""loose patch configuration""
oen_term:oen_0000000
""Helmholtz""";loose patch configuration;oen_term:oen_0000000;';';oen_0000271;';';';'
"owl:Class
""contact details""
oen_term:oen_0000000
""Helmholtz""";contact details;oen_term:oen_0000000;';';oen_0000270;';';';'
"owl:Class
""shutter speed""
oen_term:oen_0000000
""odML terminology""";shutter speed;oen_term:oen_0000000;';';oen_0000376;';';';'
"owl:Class
""stimulation intensity""
oen_term:oen_0000000
""odML terminology""";stimulation intensity;oen_term:oen_0000000;';';oen_0000377;';';';'
"owl:Class
""image acquisition device CCD count""
oen_term:oen_0000000
""odML terminology""";image acquisition device CCD count;oen_term:oen_0000000;';';oen_0000374;';';';'
"owl:Class
""experiment duration""
oen_term:oen_0000000
""Helmholtz""";experiment duration;oen_term:oen_0000000;';';oen_0000375;';';';'
"owl:Class
""switching frequency""
oen_term:oen_0000000
""odML terminology""";switching frequency;oen_term:oen_0000000;';';oen_0000372;';';';'
"owl:Class
""gaussian window""
oen_term:oen_0000000
""odML terminology""";gaussian window;oen_term:oen_0000000;';';oen_0000373;';';';'
"owl:Class
""cs-mount""
oen_term:oen_0000000
""odML terminology""";cs-mount;oen_term:oen_0000000;';';oen_0000279;';';';'
"owl:Class
""current clamp""
oen_term:oen_0000000
""odML terminology""";current clamp;oen_term:oen_0000000;';';oen_0000278;';';';'
"owl:Class
""drug experiment""
oen_term:oen_0000000
""Helmholtz""";drug experiment;oen_term:oen_0000000;';';oen_0000116;';';';'
"owl:Class
""random dot pixel height""
oen_term:oen_0000000
""odML terminology""";random dot pixel height;oen_term:oen_0000000;';';oen_0000117;';';';'
"owl:Class
""gaussian window function""
oen_term:oen_0000000
""odML terminology""";gaussian window function;oen_term:oen_0000000;';';oen_0000114;';';';'
"owl:Class
""bottom-right position reference""
oen_term:oen_0000000
""odML terminology""";bottom-right position reference;oen_term:oen_0000000;';';oen_0000115;';';';'
"owl:Class
""method of identification""
oen_term:oen_0000000
""odML terminology""";method of identification;oen_term:oen_0000000;';';oen_0000112;';';';'
"owl:Class
""common name""
oen_term:oen_0000000
""odML terminology""";common name;oen_term:oen_0000000;';';oen_0000113;';';';'
"owl:Class
""square wave modulation frequency""
oen_term:oen_0000000
""odML terminology""";square wave modulation frequency;oen_term:oen_0000000;';';oen_0000110;';';';'
"owl:Class
""spike stimulus""
oen_term:oen_0000000
""Helmholtz""";spike stimulus;oen_term:oen_0000000;';';oen_0000111;';';';'
"owl:Class
""stimulus location""
oen_term:oen_0000000
""odML terminology""";stimulus location;oen_term:oen_0000000;';';oen_0000118;';';';'
"owl:Class
""study principle investigator or responsible""
oen_term:oen_0000000
""odML terminology""";study principle investigator or responsible;oen_term:oen_0000000;';';oen_0000119;';';';'
"owl:Class
""low pass filter""
oen_term:oen_0000000
""odML terminology""";low pass filter;oen_term:oen_0000000;';';oen_0000370;';';';'
"owl:Class
""duty cycle""
oen_term:oen_0000000
""odML terminology""";duty cycle;oen_term:oen_0000000;';';oen_0000668;';';';'
"owl:Class
""recording stimulus""
oen_term:oen_0000000
""Helmholtz""";recording stimulus;oen_term:oen_0000000;';';oen_0000669;';';';'
"owl:Class
""behavioral science""
oen_term:oen_0000000
""odML terminology""";behavioral science;oen_term:oen_0000000;';';oen_0000371;';';';'
"owl:Class
""electrode position""
oen_term:oen_0000000
""Helmholtz""";electrode position;oen_term:oen_0000000;';';oen_0000059;';';';'
"owl:Class
""data segment overlap""
oen_term:oen_0000000
""odML terminology""";data segment overlap;oen_term:oen_0000000;';';oen_0000058;';';';'
"owl:Class
""local anaesthetic dose""
oen_term:oen_0000000
""odML terminology""";local anaesthetic dose;oen_term:oen_0000000;';';oen_0000057;';';';'
"owl:Class
""stimulation pre-trigger duration""
oen_term:oen_0000000
""Helmholtz""";stimulation pre-trigger duration;oen_term:oen_0000000;';';oen_0000056;';';';'
"owl:Class
""whole cell configuration""
oen_term:oen_0000000
""Helmholtz""";whole cell configuration;oen_term:oen_0000000;';';oen_0000055;';';';'
"owl:Class
""ramp start amplitude""
oen_term:oen_0000000
""odML terminology""";ramp start amplitude;oen_term:oen_0000000;';';oen_0000054;';';';'
"owl:Class
""stimulus isolator maximum gain""
oen_term:oen_0000000
""odML terminology""";stimulus isolator maximum gain;oen_term:oen_0000000;';';oen_0000053;';';';'
"owl:Class
""subject age""
oen_term:oen_0000000
""odML terminology""";subject age;oen_term:oen_0000000;';';oen_0000052;';';';'
"owl:Class
""gender""
oen_term:oen_0000000
""odML terminology""";gender;oen_term:oen_0000000;';';oen_0000051;';';';'
"owl:Class
""stimulus""
oen_term:oen_0000000
""odML terminology""";stimulus;oen_term:oen_0000000;';';oen_0000050;';';';'
"owl:Class
""subject cell line""
oen_term:oen_0000000
""odML terminology""";subject cell line;oen_term:oen_0000000;';';oen_0000660;';';';'
"owl:Class
""xenon lamp""
oen_term:oen_0000000
""odML terminology""";xenon lamp;oen_term:oen_0000000;';';oen_0000661;';';';'
"owl:Class
""grating orientation""
oen_term:oen_0000000
""odML terminology""";grating orientation;oen_term:oen_0000000;';';oen_0000712;';';';'
"owl:Class
""perforated patch configuration""
oen_term:oen_0000000
""Helmholtz""";perforated patch configuration;oen_term:oen_0000000;';';oen_0000608;';';';'
"owl:Class
""air interface objective lens""
oen_term:oen_0000000
""odML terminology""";air interface objective lens;oen_term:oen_0000000;';';oen_0000609;';';';'
"owl:Class
""dual Purkinje sensor""
oen_term:oen_0000000
""odML terminology""";dual Purkinje sensor;oen_term:oen_0000000;';';oen_0000602;';';';'
"owl:Class
""configuration file URL""
oen_term:oen_0000000
""odML terminology""";configuration file URL;oen_term:oen_0000000;';';oen_0000603;';';';'
"owl:Class
""focal length range""
oen_term:oen_0000000
""odML terminology""";focal length range;oen_term:oen_0000000;';';oen_0000600;';';';'
"owl:Class
""experimental setup maintainer""
oen_term:oen_0000000
""odML terminology""";experimental setup maintainer;oen_term:oen_0000000;';';oen_0000601;';';';'
"owl:Class
""notch filter""
oen_term:oen_0000000
""odML terminology""";notch filter;oen_term:oen_0000000;';';oen_0000606;';';';'
"owl:Class
""discrete signal sampling rate""
oen_term:oen_0000000
""Helmholtz""";discrete signal sampling rate;oen_term:oen_0000000;';';oen_0000607;';';';'
"owl:Class
""supplier contact details""
oen_term:oen_0000000
""Helmholtz""";supplier contact details;oen_term:oen_0000000;';';oen_0000604;';';';'
"owl:Class
""discrete signal waveform description""
oen_term:oen_0000000
""Helmholtz""";discrete signal waveform description;oen_term:oen_0000000;';';oen_0000605;';';';'
"owl:Class
""pathname""
oen_term:oen_0000000
""Helmholtz""";pathname;oen_term:oen_0000000;';';oen_0000170;';';';'
"owl:Class
""multi-photon microscope""
oen_term:oen_0000000
""odML terminology""";multi-photon microscope;oen_term:oen_0000000;';';oen_0000171;';';';'
"owl:Class
""contrast resolution""
oen_term:oen_0000000
""odML terminology""";contrast resolution;oen_term:oen_0000000;';';oen_0000172;';';';'
"owl:Class
""instrument model""
oen_term:oen_0000000
""odML terminology""";instrument model;oen_term:oen_0000000;';';oen_0000173;';';';'
"owl:Class
""step size""
oen_term:oen_0000000
""odML terminology""";step size;oen_term:oen_0000000;';';oen_0000174;';';';'
"owl:Class
""infrared detector""
oen_term:oen_0000000
""odML terminology""";infrared detector;oen_term:oen_0000000;';';oen_0000175;';';';'
"owl:Class
""in vitro culture preparation""
oen_term:oen_0000000
""Helmholtz""";in vitro culture preparation;oen_term:oen_0000000;';';oen_0000176;';';';'
"owl:Class
""stimulation luminance low""
oen_term:oen_0000000
""Helmholtz""";stimulation luminance low;oen_term:oen_0000000;';';oen_0000177;';';';'
"owl:Class
""subject genus""
oen_term:oen_0000000
""odML terminology""";subject genus;oen_term:oen_0000000;';';oen_0000178;';';';'
"owl:Class
""collection""
oen_term:oen_0000000
""odML terminology""";collection;oen_term:oen_0000000;';';oen_0000179;';';';'
"owl:Class
""image acquisition frame rate""
oen_term:oen_0000000
""odML terminology""";image acquisition frame rate;oen_term:oen_0000000;';';oen_0000671;';';';'
"owl:Class
""transmission range""
oen_term:oen_0000000
""odML terminology""";transmission range;oen_term:oen_0000000;';';oen_0000670;';';';'
"owl:Class
""bath solution""
oen_term:oen_0000000
""odML terminology""";bath solution;oen_term:oen_0000000;';';oen_0000677;';';';'
"owl:Class
""behavior experiment""
oen_term:oen_0000000
""odML terminology""";behavior experiment;oen_term:oen_0000000;';';oen_0000676;';';';'
"owl:Class
""ramp start time""
oen_term:oen_0000000
""odML terminology""";ramp start time;oen_term:oen_0000000;';';oen_0000675;';';';'
"owl:Class
""slice thickness""
oen_term:oen_0000000
""odML terminology""";slice thickness;oen_term:oen_0000000;';';oen_0000674;';';';'
"owl:Class
""stimulus repetitions""
oen_term:oen_0000000
""odML terminology""";stimulus repetitions;oen_term:oen_0000000;';';oen_0000598;';';';'
"owl:Class
""stimulation center type""
oen_term:oen_0000000
""Helmholtz""";stimulation center type;oen_term:oen_0000000;';';oen_0000079;';';';'
"owl:Class
""frame grabber""
oen_term:oen_0000000
""odML terminology""";frame grabber;oen_term:oen_0000000;';';oen_0000078;';';';'
"owl:Class
""stimulus spatial extent""
oen_term:oen_0000000
""odML terminology""";stimulus spatial extent;oen_term:oen_0000000;';';oen_0000599;';';';'
"owl:Class
""researcher street address""
oen_term:oen_0000000
""Helmholtz""";researcher street address;oen_term:oen_0000000;';';oen_0000071;';';';'
"owl:Class
""high pass filter order""
oen_term:oen_0000000
""odML terminology""";high pass filter order;oen_term:oen_0000000;';';oen_0000070;';';';'
"owl:Class
""sparse noise nrev multistimulus""
oen_term:oen_0000000
""Helmholtz""";sparse noise nrev multistimulus;oen_term:oen_0000000;';';oen_0000073;';';';'
"owl:Class
""subjet strain""
oen_term:oen_0000000
""odML terminology""";subjet strain;oen_term:oen_0000000;';';oen_0000072;';';';'
"owl:Class
""white noise""
oen_term:oen_0000000
""odML terminology""";white noise;oen_term:oen_0000000;';';oen_0000075;';';';'
"owl:Class
""stimulus start time""
oen_term:oen_0000000
""odML terminology""";stimulus start time;oen_term:oen_0000000;';';oen_0000074;';';';'
"owl:Class
""scanner stack z range""
oen_term:oen_0000000
""odML terminology""";scanner stack z range;oen_term:oen_0000000;';';oen_0000077;';';';'
"owl:Class
""single compartment model""
oen_term:oen_0000000
""odML terminology""";single compartment model;oen_term:oen_0000000;';';oen_0000076;';';';'
"owl:Class
""principle investigator role""
oen_term:oen_0000000
""odML terminology""";principle investigator role;oen_term:oen_0000000;';';oen_0000593;';';';'
"owl:Class
""single electrode recording""
oen_term:oen_0000000
""odML terminology""";single electrode recording;oen_term:oen_0000000;';';oen_0000590;';';';'
"owl:Class
""imaging experiment""
oen_term:oen_0000000
""odML terminology""";imaging experiment;oen_term:oen_0000000;';';oen_0000591;';';';'
"owl:Class
""drug application route type""
oen_term:oen_0000000
""Helmholtz""";drug application route type;oen_term:oen_0000000;';';oen_0000189;';';';'
