;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""device item configuration""
oen_term:oen_0000000
""Helmholtz""";device item configuration;oen_term:oen_0000000;';';oen_0000516;';';';'
"owl:Class
""behavior""
oen_term:oen_0000000
""odML terminology""";behavior;oen_term:oen_0000000;';';oen_0000517;';';';'
"owl:Class
""image acquisition lens""
oen_term:oen_0000000
""odML terminology""";image acquisition lens;oen_term:oen_0000000;';';oen_0000514;';';';'
"owl:Class
""multistimulus title""
oen_term:oen_0000000
""Helmholtz""";multistimulus title;oen_term:oen_0000000;';';oen_0000250;';';';'
"owl:Class
""position depth""
oen_term:oen_0000000
""Helmholtz""";position depth;oen_term:oen_0000000;';';oen_0000518;';';';'
"owl:Class
""chemical supplier""
oen_term:oen_0000000
""Helmholtz""";chemical supplier;oen_term:oen_0000000;';';oen_0000519;';';';'
"owl:Class
""size""
oen_term:oen_0000000
""odML terminology""";size;oen_term:oen_0000000;';';oen_0000307;';';';'
"owl:Class
""tabletop eye tracker""
oen_term:oen_0000000
""odML terminology""";tabletop eye tracker;oen_term:oen_0000000;';';oen_0000306;';';';'
"owl:Class
""low pass filter order""
oen_term:oen_0000000
""odML terminology""";low pass filter order;oen_term:oen_0000000;';';oen_0000305;';';';'
"owl:Class
""result figure""
oen_term:oen_0000000
""odML terminology""";result figure;oen_term:oen_0000000;';';oen_0000304;';';';'
"owl:Class
""owner""
oen_term:oen_0000000
""odML terminology""";owner;oen_term:oen_0000000;';';oen_0000303;';';';'
"owl:Class
""body weight""
oen_term:oen_0000000
""odML terminology""";body weight;oen_term:oen_0000000;';';oen_0000302;';';';'
"owl:Class
""Bessel filter""
oen_term:oen_0000000
""odML terminology""";Bessel filter;oen_term:oen_0000000;';';oen_0000301;';';';'
"owl:Class
""researcher""
oen_term:oen_0000000
""Helmholtz""";researcher;oen_term:oen_0000000;';';oen_0000300;';';';'
"owl:Class
""cell time constant""
oen_term:oen_0000000
""odML terminology""";cell time constant;oen_term:oen_0000000;';';oen_0000309;';';';'
"owl:Class
""stimulus isolator output range maximum current""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output range maximum current;oen_term:oen_0000000;';';oen_0000308;';';';'
"owl:Class
""experiment definition""
oen_term:oen_0000000
""odML terminology""";experiment definition;oen_term:oen_0000000;';';oen_0000040;';';';'
"owl:Class
""electroencephalogram device""
oen_term:oen_0000000
""Helmholtz""";electroencephalogram device;oen_term:oen_0000000;';';oen_0000041;';';';'
"owl:Class
""image acquisition gamma value""
oen_term:oen_0000000
""odML terminology""";image acquisition gamma value;oen_term:oen_0000000;';';oen_0000129;';';';'
"owl:Class
""stimulus position""
oen_term:oen_0000000
""odML terminology""";stimulus position;oen_term:oen_0000000;';';oen_0000128;';';';'
"owl:Class
""brain subregion""
oen_term:oen_0000000
""odML terminology""";brain subregion;oen_term:oen_0000000;';';oen_0000044;';';';'
"owl:Class
""event list""
oen_term:oen_0000000
""odML terminology""";event list;oen_term:oen_0000000;';';oen_0000045;';';';'
"owl:Class
""subject developmental stage""
oen_term:oen_0000000
""odML terminology""";subject developmental stage;oen_term:oen_0000000;';';oen_0000046;';';';'
"owl:Class
""high pass filter cutoff""
oen_term:oen_0000000
""odML terminology""";high pass filter cutoff;oen_term:oen_0000000;';';oen_0000047;';';';'
"owl:Class
""recording experimenter""
oen_term:oen_0000000
""odML terminology""";recording experimenter;oen_term:oen_0000000;';';oen_0000123;';';';'
"owl:Class
""camera""
oen_term:oen_0000000
""odML terminology""";camera;oen_term:oen_0000000;';';oen_0000122;';';';'
"owl:Class
""slice preparation protocol""
oen_term:oen_0000000
""odML terminology""";slice preparation protocol;oen_term:oen_0000000;';';oen_0000121;';';';'
"owl:Class
""dry objective""
oen_term:oen_0000000
""odML terminology""";dry objective;oen_term:oen_0000000;';';oen_0000120;';';';'
"owl:Class
""preparation anaesthesia modality""
oen_term:oen_0000000
""odML terminology""";preparation anaesthesia modality;oen_term:oen_0000000;';';oen_0000127;';';';'
"owl:Class
""storage file server port""
oen_term:oen_0000000
""Helmholtz""";storage file server port;oen_term:oen_0000000;';';oen_0000126;';';';'
"owl:Class
""aperture""
oen_term:oen_0000000
""odML terminology""";aperture;oen_term:oen_0000000;';';oen_0000125;';';';'
"owl:Class
""inside out patch configuration""
oen_term:oen_0000000
""Helmholtz""";inside out patch configuration;oen_term:oen_0000000;';';oen_0000124;';';';'
"owl:Class
""psychophysics experiment""
oen_term:oen_0000000
""odML terminology""";psychophysics experiment;oen_term:oen_0000000;';';oen_0000259;';';';'
"owl:Class
""cell identification method""
oen_term:oen_0000000
""odML terminology""";cell identification method;oen_term:oen_0000000;';';oen_0000258;';';';'
"owl:Class
""beam splitter model""
oen_term:oen_0000000
""odML terminology""";beam splitter model;oen_term:oen_0000000;';';oen_0000713;';';';'
"owl:Class
""chemical concentration""
oen_term:oen_0000000
""Helmholtz""";chemical concentration;oen_term:oen_0000000;';';oen_0000658;';';';'
"owl:Class
""storage file drive""
oen_term:oen_0000000
""Helmholtz""";storage file drive;oen_term:oen_0000000;';';oen_0000679;';';';'
"owl:Class
""solid electrode""
oen_term:oen_0000000
""Helmholtz""";solid electrode;oen_term:oen_0000000;';';oen_0000678;';';';'
"owl:Class
""analog output channel count""
oen_term:oen_0000000
""odML terminology""";analog output channel count;oen_term:oen_0000000;';';oen_0000048;';';';'
"owl:Class
""bitebar""
oen_term:oen_0000000
""odML terminology""";bitebar;oen_term:oen_0000000;';';oen_0000321;';';';'
"owl:Class
""image acquisition pixel binning""
oen_term:oen_0000000
""odML terminology""";image acquisition pixel binning;oen_term:oen_0000000;';';oen_0000320;';';';'
"owl:Class
""analog output used channel count""
oen_term:oen_0000000
""odML terminology""";analog output used channel count;oen_term:oen_0000000;';';oen_0000323;';';';'
"owl:Class
""experimental setup room""
oen_term:oen_0000000
""Helmholtz""";experimental setup room;oen_term:oen_0000000;';';oen_0000322;';';';'
"owl:Class
""image acquisition region of interest y""
oen_term:oen_0000000
""odML terminology""";image acquisition region of interest y;oen_term:oen_0000000;';';oen_0000325;';';';'
"owl:Class
""slice orientation""
oen_term:oen_0000000
""odML terminology""";slice orientation;oen_term:oen_0000000;';';oen_0000324;';';';'
"owl:Class
""animal model""
oen_term:oen_0000000
""odML terminology""";animal model;oen_term:oen_0000000;';';oen_0000327;';';';'
"owl:Class
""image acquisition region of interest x""
oen_term:oen_0000000
""odML terminology""";image acquisition region of interest x;oen_term:oen_0000000;';';oen_0000326;';';';'
"owl:Class
""experimental setup place""
oen_term:oen_0000000
""Helmholtz""";experimental setup place;oen_term:oen_0000000;';';oen_0000329;';';';'
"owl:Class
""scientific name""
oen_term:oen_0000000
""Helmholtz""";scientific name;oen_term:oen_0000000;';';oen_0000328;';';';'
"owl:Class
""diameter""
oen_term:oen_0000000
""Helmholtz""";diameter;oen_term:oen_0000000;';';oen_0000105;';';';'
"owl:Class
""recording session end date""
oen_term:oen_0000000
""odML terminology""";recording session end date;oen_term:oen_0000000;';';oen_0000104;';';';'
"owl:Class
""discontinuous""
oen_term:oen_0000000
""odML terminology""";discontinuous;oen_term:oen_0000000;';';oen_0000107;';';';'
"owl:Class
""excitation filter manufacturer""
oen_term:oen_0000000
""odML terminology""";excitation filter manufacturer;oen_term:oen_0000000;';';oen_0000106;';';';'
"owl:Class
""Ringer&apos;s solution""
oen_term:oen_0000000
""odML terminology""";"Ringer&apos;s solution";oen_term:oen_0000000;';';oen_0000101;';';';'
"owl:Class
""device impedance""
oen_term:oen_0000000
""Helmholtz""";device impedance;oen_term:oen_0000000;';';oen_0000100;';';';'
"owl:Class
""image acquisition shutter speed""
oen_term:oen_0000000
""odML terminology""";image acquisition shutter speed;oen_term:oen_0000000;';';oen_0000103;';';';'
"owl:Class
""amplifier gain""
oen_term:oen_0000000
""odML terminology""";amplifier gain;oen_term:oen_0000000;';';oen_0000102;';';';'
"owl:Class
""experimental environment""
oen_term:oen_0000000
""odML terminology""";experimental environment;oen_term:oen_0000000;';';oen_0000664;';';';'
"owl:Class
""drug application route role""
oen_term:oen_0000000
""Helmholtz""";drug application route role;oen_term:oen_0000000;';';oen_0000665;';';';'
"owl:Class
""grating intensity""
oen_term:oen_0000000
""odML terminology""";grating intensity;oen_term:oen_0000000;';';oen_0000666;';';';'
"owl:Class
""stimulation contrast""
oen_term:oen_0000000
""Helmholtz""";stimulation contrast;oen_term:oen_0000000;';';oen_0000667;';';';'
